Name,Series,Description,Author,Age,Rating_out_of_5,No_of_Ratings,Price,Price_Befor,Cover_Type,Publication_Date,Product_Details,Best_Seller,Link
Speak Up,,"
When something really matters, one voice can make a difference. This spirited, vibrant picture book celebrates diversity and encourages kids to speak up, unite with others, and take action when they see something that needs to be fixed.Join a diverse group of kids on a busy school day as they discover so many different ways to speak up and make their voices heard! From shouting out gratitude for a special treat to challenging a rule that isn’t fair, these young students show that simple, everyday actions can help people and make the world a better place.  

",Miranda Paul,Ages: 4 - 7 years,4.8,357.0,$13.99,$17.99,Hardcover,2020-07-07,"



Product details





Publisher
:

Clarion Books; Illustrated edition (July 7, 2020)


Language
:

English


Hardcover
:

40 pages


ISBN-10
:

035814096X


ISBN-13
:

978-0358140962


Reading age
:

4 - 7 years


Grade level
:

Preschool - 3


Item Weight
:

14.4 ounces


Dimensions
:

10 x 0.36 x 10 inches






Best Sellers Rank:

#4,779 in Books (See Top 100 in Books)

 #18 in Children's Bullies Issues Books
 #33 in Children's Prejudice & Racism Books
 #85 in Children's Self-Esteem Books






Customer Reviews:







4.8 out of 5 stars








357 ratings












",,https://www.amazon.com/Speak-Up-Miranda-Paul/dp/035814096X/ref=sr_1_1106?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1106
"The Complete Wreck (A Series of Unfortunate Events, Books 1-13)",,"
NOW A NETFLIX ORIGINAL SERIESSome boxes should never be opened.For the first time, the complete A Series of Unfortunate Events is available in one awful package!We can't keep you from succumbing to this international bestselling phenomenon, but we can hide all thirteen books in a huge, elaborately illustrated, shrink-wrapped box, perfect for filling an empty shelf or deep hole.From The Bad Beginning to The End, this box set, adorned with Brett Helquist art from front to back, is the only choice for people who simply cannot get enough of a bad thing!

",Lemony Snicket,Ages: 8 - 12 years,4.7,1.58,$94.99,$180.00,Hardcover,2006-10-13,"



Product details





Publisher
:

HarperCollins; Illustrated edition (October 13, 2006)


Language
:

English


Hardcover
:

324 pages


ISBN-10
:

0061119067


ISBN-13
:

978-0061119064


Reading age
:

8 - 12 years


Grade level
:

5 - 6


Item Weight
:

9.35 pounds


Dimensions
:

13.6 x 7.7 x 5.3 inches






Best Sellers Rank:

#10,001 in Books (See Top 100 in Books)

 #30 in Children's Orphans & Foster Homes Books (Books)
 #81 in Children's Siblings Books (Books)
 #564 in Children's Action & Adventure Books (Books)






Customer Reviews:







4.7 out of 5 stars








1,580 ratings












",,https://www.amazon.com/Complete-Wreck-Unfortunate-Events-Books/dp/0061119067/ref=sr_1_1107?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1107
The Truths We Hold: An American Journey (Young Readers Edition),,"
Now adapted for young readers, Vice President Kamala Harris's empowering memoir about the values and inspirations that guided her life.With her election to the vice presidency, her election to the U.S. Senate, and her position as attorney general of California, Kamala Harris has blazed trails throughout her entire political career. But how did she achieve her goals? What values and influences guided and inspired her along the way? In this young readers edition of Kamala Harris’s memoir, we learn about the impact that her family and community had on her life, and see what led her to discover her own sense of self and purpose. The Truths We Hold traces her journey as she explored the values she holds most dear—those of community, equality, and justice. An inspiring and empowering memoir, this book challenges us to become leaders in our own lives and shows us that with determination and perseverance all dreams are possible.

",Kamala Harris,Ages: 12 years and up,4.7,384.0,$8.79,$10.99,Paperback,2020-10-13,"



Product details





Publisher
:

Penguin Books (October 13, 2020)


Language
:

English


Paperback
:

304 pages


ISBN-10
:

0593113179


ISBN-13
:

978-0593113172


Reading age
:

12 - 15 years


Lexile measure
:

1020L


Grade level
:

7 - 9


Item Weight
:

9.6 ounces


Dimensions
:

5.56 x 0.8 x 8.25 inches






Best Sellers Rank:

#1,916 in Books (See Top 100 in Books)

 #2 in Teen & Young Adult Women Biographies
 #2 in Teen & Young Adult Political Biographies
 #7 in Teen & Young Adult Social Issues






Customer Reviews:







4.7 out of 5 stars








384 ratings












",,https://www.amazon.com/Truths-We-Hold-American-Journey/dp/0593113179/ref=sr_1_1108?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1108
Warriors: The Broken Code #4: Darkness Within,Book 4 of 5: Warriors: The Broken Code,"
The #1 nationally bestselling Warriors series continues! Discover more epic adventures in the fourth book in the action-packed Broken Code story arc. Exiled after a battle that left all five Clans devastated, ThunderClan’s loyal deputy, Squirrelflight, must bring to light an earth-shattering truth: the identity of the cat ruling ThunderClan while wearing Bramblestar’s face.While the fate of his body hangs in the balance, the real Bramblestar’s spirit has vanished. Even Rootspring is powerless to reach him—and with tensions among the Clans at a breaking point, Squirrelflight may not be able to ensure Bramblestar has a body to return to. If he returns at all. Packed with action and intrigue, this sixth Warriors series is the perfect introduction for readers new to the Warriors world, while dedicated fans will be thrilled to discover the new adventures that unfold after the events of A Vision of Shadows. 

",Erin Hunter,Ages: 8 - 12 years,4.9,948.0,$15.99,$17.99,Hardcover,2020-11-10,"



Product details





Publisher
:

HarperCollins (November 10, 2020)


Language
:

English


Hardcover
:

352 pages


ISBN-10
:

0062823728


ISBN-13
:

978-0062823724


Reading age
:

8 - 12 years


Grade level
:

3 - 7


Item Weight
:

14.7 ounces


Dimensions
:

5.5 x 1.13 x 8.25 inches






Best Sellers Rank:

#8,629 in Books (See Top 100 in Books)

 #76 in Children's Cat Books (Books)
 #327 in Children's Fantasy & Magic Books
 #477 in Children's Action & Adventure Books (Books)






Customer Reviews:







4.9 out of 5 stars








948 ratings












",,https://www.amazon.com/Warriors-Broken-Code-Darkness-Within/dp/0062823728/ref=sr_1_1109?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1109
Avatar: The Last Airbender--North and South Library Edition,,"
When Katara and Sokka return home to the Southern Water Tribe, they are shocked to find that it has gone from a small village to a bustling city! Malina, a Northerner, is behind the change and plans to unify the two groups, but Gilak, a Southerner, leads a fierce rebellion to stop her. In the face of these two opposing tribes, Katara will have to make peace with her nostalgia and distrust to save the home she loves from being permanently torn apart. This special, oversized edition of Avatar: the Last Airbender -- North and South features volumes 1-3 with annotations by writer Gene Luen Yang and artists Gurihiru, as well as a sketchbook section with new, behind-the-scenes material!

",Gene Luen Yang,Ages: 8 - 11 years,4.9,641.0, $25.99,,Hardcover,2017-11-07,"



Product details





Publisher
:

Dark Horse Books; Illustrated edition (November 7, 2017)


Language
:

English


Hardcover
:

240 pages


ISBN-10
:

1506701957


ISBN-13
:

978-1506701950


Reading age
:

8 - 11 years


Item Weight
:

3.5 pounds


Dimensions
:

9.26 x 1.02 x 12.4 inches






Best Sellers Rank:

#11,189 in Books (See Top 100 in Books)

 #24 in Dark Horse Comics & Graphic Novels
 #72 in Action & Adventure Manga (Books)
 #95 in Media Tie-In Manga (Books)






Customer Reviews:







4.9 out of 5 stars








641 ratings












",,https://www.amazon.com/Avatar-Last-Airbender-North-South-Library/dp/1506701957/ref=sr_1_1110?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1110
"Unicorn Activity Book for Kids ages 4-8: A children’s coloring book and activity pages for 4-8 year old kids. For home or travel, it contains ... puzzles and more. (Silly Bear Coloring Books)",,"
With gorgeous coloring and activity pages, this Unicorn Activity Book makes a great gift for kids. Pair it with crayons to keep kids busy indoors.What's inside the book:• 25 coloring pages and 25 activity pages, featuring unicorns and their magical friends – it’s packed full of unicorns, stars and rainbows, as well as cute cottages, narwhals and mermaids.• Activities include mazes, dot-to-dot, word searches, counting, spot the difference and more, with answers at the back.• Pages contain age appropriate activities and are one sided to avoid issues with bleed through.For anyone who loves unicorns, let their imaginations soar.Order your copy today.

",Silly Bear,Ages: 4 - 8 years,4.8,1.228,$5.99,,Paperback,2019-05-05,"



Product details





Publisher
:

On the Hop Books Ltd (May 5, 2019)


Language
:

English


Paperback
:

108 pages


ISBN-10
:

199989698X


ISBN-13
:

978-1999896980


Reading age
:

4 - 8 years


Item Weight
:

10.4 ounces


Dimensions
:

8.5 x 0.25 x 11 inches






Best Sellers Rank:

#2,960 in Books (See Top 100 in Books)

 #1 in Children's Fashion Crafts
 #3 in Children's Antique & Collectible Books
 #4 in Children's Horse Books (Books)






Customer Reviews:







4.8 out of 5 stars








1,228 ratings












",in Children's Fashion Crafts,https://www.amazon.com/Unicorn-Activity-Book-Kids-ages/dp/199989698X/ref=sr_1_1111?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1111
James Herriot's Treasury for Children: Warm and Joyful Tales by the Author of All Creatures Great and Small,,"
Children have always found a delightful friend in James Herriot. His award-winning stories for young readers bring the farmyard world of Herriot's Yorkshire to vibrant life. Featuring a host of adorable animals and colorful townsfolk, each of the stories is narrated by the country vet himself, with all of the warmth, caring, and good humor that have made James Herriot beloved the world over. Here, in James Herriot's Treasury for Children, we find all of his books for children collected in one beautiful volume. From the springtime frolic of Oscar, Cat-About-Town to the yuletide warmth of The Christmas Day Kitten, these stories―radiantly illustrated by Peter Barrett and Ruth Brown―are perennial favorites, and this new complete edition will make a wonderful gift for all readers, great and small.Taken together, these stories comprise a wondrous Herriot menagerie, a family treasure that will be passed, with joy and affection, from generation to generation.

",James Herriot,Ages: 4 - 8 years,4.9,993.0,$19.37,$25.99,Hardcover,2014-10-28,"



Product details





Publisher
:

St. Martin's Griffin; New edition (October 28, 2014)


Language
:

English


Hardcover
:

272 pages


ISBN-10
:

1250058139


ISBN-13
:

978-1250058133


Reading age
:

4 - 8 years


Grade level
:

Preschool - 3


Item Weight
:

2.75 pounds


Dimensions
:

8.52 x 0.97 x 10.84 inches






Best Sellers Rank:

#6,832 in Books (See Top 100 in Books)

 #15 in Children's Short Story Collections
 #30 in Children's Pet Books (Books)
 #32 in Children's Farm Animal Books (Books)






Customer Reviews:







4.9 out of 5 stars








993 ratings












",,https://www.amazon.com/James-Herriots-Treasury-Children-Creatures/dp/1250058139/ref=sr_1_1112?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1112
If I Built a Car,,"
With energetic rhyme and action-packed artwork to match, If I Built a Car sure to fuel any young inventor with big plans and grand imaginations. ""If I built a car, it'd be totally new! Here are a few of the things that I'd do. . . ."" Jack has designed the ultimate fantasy car. Inspired by zeppelins and trains, Cadillacs and old planes, with brilliant colors and lots of shiny chrome, this far-out vision is ready to cruise! there's a fireplace, a pool, and even a snack bar! After a tour of the ritzy interior, robert the robot starts up the motor . . . and Jack and his dad set off on the wildest test drive ever!

",Chris Van Dusen,Ages: 3 - 5 years,4.8,1.969,$7.99,$8.99,Paperback,2007-06-14,"



Product details





ASIN
:

0142408255


Publisher
:

Puffin Books; Illustrated edition (June 14, 2007)


Language
:

English


Paperback
:

40 pages


ISBN-10
:

0147509149


ISBN-13
:

978-0147509147


Reading age
:

3 - 5 years


Lexile measure
:

AD720L


Item Weight
:

6.6 ounces


Dimensions
:

10 x 0.18 x 10.06 inches






Best Sellers Rank:

#3,469 in Books (See Top 100 in Books)

 #16 in Children's Cars & Trucks Books (Books)
 #92 in Children's Science & Nature Books
 #184 in Children's Activity Books (Books)






Customer Reviews:







4.8 out of 5 stars








1,969 ratings












",,https://www.amazon.com/Built-Car-Chris-Van-Dusen/dp/0142408255/ref=sr_1_1113?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1113
Magic Tree House Books 17-20 Boxed Set: The Mystery of the Enchanted Dog (Magic Tree House (R)),,"
Join Jack and Annie on four time traveling adventures in books 17-20 of the #1 bestselling chapter book series! Jack and Annie must find the four things that will free an enchanted dog named Teddy from a spell. Their quest leads them to a ship lost at sea, the Great Plains, the forests of India, and the Australian Outback. It’s a difficult and dangerous mission, but Jack and Annie will do anything to help their new friend, Teddy!   Books in this set include: Tonight on the Titanic (#17), Buffalo Before Breakfast (#18), Tigers at Twilight (#19), and Dingoes at Dinnertime (#20). Did you know that there’s a Magic Tree House book for every kid? Magic Tree House: Adventures with Jack and Annie, perfect for readers who are just beginning chapter books Merlin Missions: More challenging adventures for the experienced reader Super Edition: A longer and more dangerous adventure Fact Trackers: Nonfiction companions to your favorite Magic Tree House adventures

",Mary Pope Osborne,Ages: 6 - 9 years,4.9,939.0,17.96,,Paperback,2009-10-27,"



Product details





ASIN
:

0375858113


Publisher
:

Random House Books for Young Readers; Illustrated edition (October 27, 2009)


Language
:

English


Paperback
:

96 pages


ISBN-10
:

9780375858116


ISBN-13
:

978-0375858116


Reading age
:

6 - 9 years


Lexile measure
:

550L


Grade level
:

1 - 4


Item Weight
:

12.3 ounces


Dimensions
:

5.25 x 1.13 x 7.81 inches






Best Sellers Rank:

#5,303 in Books (See Top 100 in Books)

 #71 in Children's Chapter Books (Books)
 #220 in Children's Fantasy & Magic Books
 #304 in Children's Action & Adventure Books (Books)






Customer Reviews:







4.9 out of 5 stars








939 ratings












",,https://www.amazon.com/Magic-House-Volumes-17-20-Boxed/dp/0375858113/ref=sr_1_1114?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1114
The Berenstain Bears' Valentine Blessings (Berenstain Bears/Living Lights: A Faith Story),,"
A new Berenstain Bears Living Lights book perfect for Valentine’s Day! In The Berenstain Bears’ Valentine Blessings, young readers and Sister Bear find out that Brother Bear has a secret admirer! Sweetie Bear has sent him a valentine card, complete with pink hearts and flowers. What will tough, hockey-playing Brother do about this and his teasing sister? But Papa Bear steps in to save the day, telling the cubs a story about another set of young cubs and a secret admirer … Papa and Mama Bear! And he reminds the cubs that all love comes from God, who is love.The Berenstain Bears’ Valentine Blessings:The bestselling and beloved Berenstain Bears brandLiving Lights seriesProven tradition of teaching children valuable life lessons in a fun and creative wayIncludes a sheet of colorful stickers featuring the whole Bear family

",Mike Berenstain,Ages: 4 - 8 years,4.7,188.0,$1.00,,Paperback,2013-12-24,"



Product details





Publisher
:

Zonderkidz; Illustrated edition (December 24, 2013)


Language
:

English


Paperback
:

24 pages


ISBN-10
:

0310734894


ISBN-13
:

978-0310734895


Reading age
:

4 - 8 years


Grade level
:

Preschool - 2


Item Weight
:

3.17 ounces


Dimensions
:

8 x 0.13 x 8 inches






Best Sellers Rank:

#1,280 in Books (See Top 100 in Books)

 #1 in Children's Christian Holiday Fiction
 #1 in Children's Christian Early Readers Fiction
 #1 in Children's Christian Emotions & Feelings Fiction






Customer Reviews:







4.7 out of 5 stars








188 ratings












",in Children's Christian Emotions & Feelings Fiction,https://www.amazon.com/Berenstain-Valentine-Blessings-Living-Lights/dp/0310734894/ref=sr_1_1115?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1115
Pop-up Peekaboo! Baby Dinosaur,,"
Roar! Can you help baby T-rex find its mom? Travel back in time to play hide-and-seek, look behind the logs and under the rocks to find where all the dinosaurs are hiding!Get to know a little T-rex, a baby Ankylosaurus and more of their friends. Just lift the flaps for a pop-up surprise! Read the lively rhymes for a fun story time book.Follow the beautifully illustrated dinosaur escapade through the lands before time, as baby T-rex goes in search of mommy T-rex. There are many places to look and many other dinosaurs to find. Each one has its name written phonetically, so you and your child can sound them out together.Babies and toddlers will be enchanted by finding the surprises behind each flap. This interactive book helps teach young children object permanence, which is an important step in childhood development. Turning the pages and moving the pop-ups help toddlers learn motor control for improved dexterity.This book has been designed as an all-round activity learning experience, to get the most out of story time. Read the lively rhymes aloud and create an amusing story for your kids to follow and guess who is behind the flap! The rhymes and easy to read text help preschoolers remember the new words they are learning, for early language development. Peeka...Rawr!Bold, brightly colored pictures, lift-the-flap pages and entertaining rhymes. This book provides lots of opportunities for parent-and-child interaction and hours of dinosaur entertainment. It's a fantastic gift for birthdays.Inside the pages of this pop-up adventure book, you’ll find:    • Hands-on play that builds confident book skills    • Look-and-find peekaboo games that reward curiosity     • Rhythmic, read-aloud text that aids language development  Surprise! The peekaboo fun doesn’t stop here! Your little one will enjoy hours of hide-and-seek surprises with The My Pop-Up Series. Find your farmyard friends with Pop-Up Peekaboo! Farm, search the oceans in Pop-Up Peekaboo! Under the Sea and travel into the rainforest to find sloths and elephants in Pop-up Peekaboo! Baby Animals and more!DK's Pop-up Peekaboo! series has been shortlisted for the Best Preschool Reading Range in The Progressive Preschool Awards 2018

",DK,Ages: 1 - 3 years,4.8,1.453,$5.00,$9.99,Board book,2018-06-05,"



Product details





Publisher
:

DK Children; Illustrated edition (June 5, 2018)


Language
:

English


Board book
:

12 pages


ISBN-10
:

1465474552


ISBN-13
:

978-1465474551


Reading age
:

1 - 3 years


Item Weight
:

1.04 pounds


Dimensions
:

8.56 x 1.07 x 8.56 inches






Best Sellers Rank:

#2,072 in Books (See Top 100 in Books)

 #15 in Children's Dinosaur Books (Books)
 #112 in Children's Activity Books (Books)






Customer Reviews:







4.8 out of 5 stars








1,452 ratings












",,https://www.amazon.com/Pop-up-Peekaboo-Baby-Dinosaur-DK/dp/1465474552/ref=sr_1_1116?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1116
"The Big Book of Reading Comprehension Activities, Grade 2: 120 Activities for After-School and Summer Reading Fun",,"
Improve reading comprehension skills through play―activities for kids ages 6 to 8 Help your young reader develop their ability to really understand the things they read with simple and engaging activities. The Big Book of Reading Comprehension Activities, Grade 2 is bursting with more than 100 awesome reading comprehension lessons perfect for after-school and summer practice. Filled with fun stories, matching, crosswords, and so much more, this workbook features activities that start simple and grow more difficult as your child progresses. Not only will they learn essential second grade reading skills―like understanding rhythm, describing story structure, and determining word meanings through context―they’ll have a blast doing it. This second grade workbook features: 120 Educational activities―All kinds of fun ways to play help kids engage with the material and get them excited about learning. Essential skill development―Set your second grader up for a lifetime of success as they learn to identify main topics, compare and contrast important facts, and more.Progressive difficulty―Keep kids from getting frustrated with challenges that start out simple and become tougher as they hone their skills. Give early readers a boost in school with this standout among second grade reading books.

",Hannah Braun M.Ed.,Ages: 6 - 8 years,4.7,1.611,$12.14,$14.99,Paperback,2019-07-30,"



Product details





Publisher
:

Zephyros Press (July 30, 2019)


Language
:

English


Paperback
:

140 pages


ISBN-10
:

164152295X


ISBN-13
:

978-1641522953


Reading age
:

6 - 8 years


Grade level
:

1 - 2


Item Weight
:

1.01 pounds


Dimensions
:

8.5 x 0.39 x 11.02 inches






Best Sellers Rank:

#2,285 in Books (See Top 100 in Books)

 #8 in Children's Grammar Books (Books)
 #12 in Children's Vocabulary & Spelling Books
 #33 in Children's General Study Aid Books






Customer Reviews:







4.7 out of 5 stars








1,611 ratings












",,https://www.amazon.com/Book-Reading-Comprehension-Activities-Grade/dp/164152295X/ref=sr_1_1117?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1117
His Dark Materials 3-Book Paperback Boxed Set: The Golden Compass; The Subtle Knife; The Amber Spyglass,,"
HIS DARK MATERIALS IS NOW AN HBO ORIGINAL SERIES STARRING DAFNE KEEN, RUTH WILSON, JAMES McAVOY, AND LIN-MANUEL MIRANDA!The Golden Compass, The Subtle Knife, and The Amber Spyglass are available together in a collectible His Dark Materials boxed set perfect for any fan or newcomer to this modern fantasy classic series that has graced the New York Times, Wall Street Journal, San Francisco Chronicle, Book Sense, and Publishers Weekly bestseller lists.These thrilling adventures tell the story of Lyra and Will—two ordinary children on a perilous journey through shimmering haunted otherworlds. They will meet witches and armored bears, fallen angels and soul-eating specters. And in the end, the fate of both the living—and the dead—will rely on them.Phillip Pullman’s spellbinding His Dark Materials trilogy has captivated readers for over twenty years and won acclaim at every turn. It will have you questioning everything you know about your world and wondering what really lies just out of reach.Honors and Praise for His Dark Materials:An Entertainment Weekly All-Time Greatest NovelA Newsweek Top 100 Book of All Time""Arguably the best juvenile fantasy novel of the past twenty years."" —The Washington Post    ""Very grand indeed."" —The New York Times “Pullman is quite possibly a genius.” —Newsweek  Don't miss Philip Pullman's epic new trilogy set in the world of His Dark Materials!** THE BOOK OF DUST **La Belle SauvageThe Secret Commonwealth

",Philip Pullman,Ages: 10 years and up,4.7,8.25,$19.99,$26.97,Paperback,2003-05-27,"



Product details





ASIN
:

0440419514


Publisher
:

Yearling; Box edition (May 27, 2003)


Language
:

English


Paperback
:

560 pages


ISBN-10
:

0440238609


ISBN-13
:

978-0440419518


Reading age
:

10 years and up


Lexile measure
:

930L


Grade level
:

5 - 12


Item Weight
:

2.15 pounds


Dimensions
:

5.25 x 3.38 x 7.88 inches






Best Sellers Rank:

#1,655 in Books (See Top 100 in Books)

 #1 in Teen & Young Adult Fantasy & Supernatural Mysteries & Thrillers
 #1 in Teen & Young Adult Mystery & Thriller Action & Adventure
 #4 in Teen & Young Adult Thrillers & Suspense (Books)






Customer Reviews:







4.7 out of 5 stars








8,248 ratings












",in Teen & Young Adult Mystery & Thriller Action & Adventure,https://www.amazon.com/Dark-Materials-Yearling-3-book-Boxed/dp/0440419514/ref=sr_1_1118?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1118
Beginning Cursive for Confident & Creative Girls: Cursive Handwriting Workbook for Kids & Beginners to Cursive Writing Practice (Cursive Writing Books for Kids),,"
★ Cursive Learning Made FUN! ★ This adorable cursive handwriting workbook is also filled with fun illustrations and positive affirmations that help each girl believe in themselves and stay engaged and interested in learning and sticking with the process. The lucky girl who gets to learn cursive with this book won’t be able to help but feel amazing about themselves! Here’s a preview of what you’ll get from this great cursive writing practice book for girls:Dot to dot illustrated exercises that show how to perfectly write each cursive upper and lower case letter.Lots of practice with connecting both upper and lower case letters.Plenty of positive complete words to practice.Top quality 60lb paper that prevents crayons, markers, or colored pencils from bleeding through. This book is the perfect size at 8.5 x 11 inches with plenty of room for small hands. Each page is simply lots of fun and keeps your child busy with mind stimulating exercises.Each page was crafted specifically for girls with big dreams. Learning cursive is fun, but it also develops brain power! It’s a handy skill to have for both kids and adults. It also helps parents have a little time to themselves while your child is engrossed in learning fun.Get your copy today if you know a girl who loves to learn!It makes a wonderfully fun gift!

",Big Dreams Art Supplies,Ages: 6 - 12 years,4.7,987.0,$6.99,,Paperback,2019-11-21,"



Product details





Publisher
:

Big Dreams Art Supplies; Illustrated edition (November 21, 2019)


Language
:

English


Paperback
:

84 pages


ISBN-10
:

1945056851


ISBN-13
:

978-1945056857


Reading age
:

6 - 12 years


Grade level
:

2 - 6


Item Weight
:

7.8 ounces


Dimensions
:

8.5 x 0.19 x 11 inches






Best Sellers Rank:

#2,903 in Books (See Top 100 in Books)

 #2 in Arts & Humanities Teaching Materials
 #3 in Distance & Online Learning
 #5 in Common Core






Customer Reviews:







4.7 out of 5 stars








987 ratings












",,https://www.amazon.com/Beginning-Cursive-Confident-Creative-Girls/dp/1945056851/ref=sr_1_1119?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1119
Paw Patrol Phonics Box Set (PAW Patrol) (Step into Reading),,"
This Step into Reading boxed set includes 12 full-color phonics readers featuring the pups of Nickelodeon’s PAW Patrol! Each book features a specific phonics concept that will give boys and girls ages 3 to 7 the tools they need to begin reading on their own.

",Jennifer Liberts,Ages: 3 - 7 years,4.5,4.723,$5.01,,Paperback,2015-07-28,"



Product details





ASIN
:

0553508784


Publisher
:

Random House Books for Young Readers; Illustrated edition (July 28, 2015)


Language
:

English


Paperback
:

144 pages


ISBN-10
:

9780553508789


ISBN-13
:

978-0553508789


Reading age
:

3 - 7 years


Grade level
:

Preschool - 2


Item Weight
:

9.6 ounces


Dimensions
:

5.44 x 1.78 x 6 inches






Best Sellers Rank:

#3,403 in Books (See Top 100 in Books)

 #28 in Children's Word Books
 #29 in Children's Dog Books (Books)
 #47 in Early Learning Beginner Readers






Customer Reviews:







4.5 out of 5 stars








4,723 ratings












",,https://www.amazon.com/Patrol-Phonics-Step-into-Reading/dp/0553508784/ref=sr_1_1120?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-1120
